split,fold,label,file_name,audio_path
train,1,gunshot,102305-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold1/102305-6-0-0.wav
train,3,gunshot,110622-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold3/110622-6-0-0.wav
train,6,gunshot,111048-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/111048-6-0-0.wav
train,1,gunshot,122690-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold1/122690-6-0-0.wav
train,8,gunshot,131571-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold8/131571-6-0-0.wav
train,6,gunshot,133797-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/133797-6-0-0.wav
train,6,gunshot,133797-6-1-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/133797-6-1-0.wav
train,6,gunshot,133797-6-2-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/133797-6-2-0.wav
train,3,gunshot,135526-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold3/135526-6-0-0.wav
train,3,gunshot,135526-6-1-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold3/135526-6-1-0.wav
train,3,gunshot,135526-6-10-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold3/135526-6-10-0.wav
train,3,gunshot,135526-6-11-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold3/135526-6-11-0.wav
train,3,gunshot,135526-6-12-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold3/135526-6-12-0.wav
train,3,gunshot,135526-6-13-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold3/135526-6-13-0.wav
train,3,gunshot,135526-6-2-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold3/135526-6-2-0.wav
train,3,gunshot,135526-6-3-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold3/135526-6-3-0.wav
train,3,gunshot,135526-6-4-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold3/135526-6-4-0.wav
train,3,gunshot,135526-6-5-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold3/135526-6-5-0.wav
train,3,gunshot,135526-6-6-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold3/135526-6-6-0.wav
train,3,gunshot,135526-6-7-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold3/135526-6-7-0.wav
train,3,gunshot,135526-6-8-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold3/135526-6-8-0.wav
train,3,gunshot,135526-6-9-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold3/135526-6-9-0.wav
train,7,gunshot,135527-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-0-0.wav
train,7,gunshot,135527-6-1-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-1-0.wav
train,7,gunshot,135527-6-10-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-10-0.wav
train,7,gunshot,135527-6-11-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-11-0.wav
train,7,gunshot,135527-6-12-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-12-0.wav
train,7,gunshot,135527-6-13-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-13-0.wav
train,7,gunshot,135527-6-14-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-14-0.wav
train,7,gunshot,135527-6-14-1.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-14-1.wav
train,7,gunshot,135527-6-14-10.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-14-10.wav
train,7,gunshot,135527-6-14-2.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-14-2.wav
train,7,gunshot,135527-6-14-3.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-14-3.wav
train,7,gunshot,135527-6-14-4.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-14-4.wav
train,7,gunshot,135527-6-14-5.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-14-5.wav
train,7,gunshot,135527-6-14-6.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-14-6.wav
train,7,gunshot,135527-6-14-7.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-14-7.wav
train,7,gunshot,135527-6-14-8.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-14-8.wav
train,7,gunshot,135527-6-14-9.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-14-9.wav
train,7,gunshot,135527-6-2-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-2-0.wav
train,7,gunshot,135527-6-3-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-3-0.wav
train,7,gunshot,135527-6-4-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-4-0.wav
train,7,gunshot,135527-6-5-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-5-0.wav
train,7,gunshot,135527-6-6-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-6-0.wav
train,7,gunshot,135527-6-7-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-7-0.wav
train,7,gunshot,135527-6-8-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-8-0.wav
train,7,gunshot,135527-6-9-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/135527-6-9-0.wav
train,4,gunshot,135528-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold4/135528-6-0-0.wav
train,4,gunshot,135528-6-1-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold4/135528-6-1-0.wav
train,4,gunshot,135528-6-10-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold4/135528-6-10-0.wav
train,4,gunshot,135528-6-11-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold4/135528-6-11-0.wav
train,4,gunshot,135528-6-12-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold4/135528-6-12-0.wav
train,4,gunshot,135528-6-2-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold4/135528-6-2-0.wav
train,4,gunshot,135528-6-3-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold4/135528-6-3-0.wav
train,4,gunshot,135528-6-4-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold4/135528-6-4-0.wav
train,4,gunshot,135528-6-4-1.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold4/135528-6-4-1.wav
train,4,gunshot,135528-6-4-2.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold4/135528-6-4-2.wav
train,4,gunshot,135528-6-5-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold4/135528-6-5-0.wav
train,4,gunshot,135528-6-6-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold4/135528-6-6-0.wav
train,4,gunshot,135528-6-7-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold4/135528-6-7-0.wav
train,4,gunshot,135528-6-8-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold4/135528-6-8-0.wav
train,4,gunshot,135528-6-9-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold4/135528-6-9-0.wav
train,6,gunshot,135544-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-0-0.wav
train,6,gunshot,135544-6-1-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-1-0.wav
train,6,gunshot,135544-6-10-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-10-0.wav
train,6,gunshot,135544-6-11-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-11-0.wav
train,6,gunshot,135544-6-12-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-12-0.wav
train,6,gunshot,135544-6-13-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-13-0.wav
train,6,gunshot,135544-6-14-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-14-0.wav
train,6,gunshot,135544-6-15-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-15-0.wav
train,6,gunshot,135544-6-16-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-16-0.wav
train,6,gunshot,135544-6-17-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-17-0.wav
train,6,gunshot,135544-6-18-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-18-0.wav
train,6,gunshot,135544-6-19-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-19-0.wav
train,6,gunshot,135544-6-2-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-2-0.wav
train,6,gunshot,135544-6-3-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-3-0.wav
train,6,gunshot,135544-6-4-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-4-0.wav
train,6,gunshot,135544-6-5-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-5-0.wav
train,6,gunshot,135544-6-6-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-6-0.wav
train,6,gunshot,135544-6-7-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-7-0.wav
train,6,gunshot,135544-6-8-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-8-0.wav
train,6,gunshot,135544-6-9-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/135544-6-9-0.wav
train,8,gunshot,145206-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold8/145206-6-0-0.wav
train,8,gunshot,145206-6-1-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold8/145206-6-1-0.wav
train,8,gunshot,145206-6-2-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold8/145206-6-2-0.wav
train,8,gunshot,145206-6-3-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold8/145206-6-3-0.wav
train,8,gunshot,145206-6-4-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold8/145206-6-4-0.wav
train,8,gunshot,145206-6-5-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold8/145206-6-5-0.wav
train,2,gunshot,145608-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold2/145608-6-0-0.wav
train,2,gunshot,145608-6-1-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold2/145608-6-1-0.wav
train,2,gunshot,145608-6-2-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold2/145608-6-2-0.wav
train,2,gunshot,145608-6-3-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold2/145608-6-3-0.wav
train,5,gunshot,145609-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold5/145609-6-0-0.wav
train,5,gunshot,145609-6-1-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold5/145609-6-1-0.wav
train,5,gunshot,145611-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold5/145611-6-0-0.wav
train,5,gunshot,145611-6-1-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold5/145611-6-1-0.wav
train,5,gunshot,145611-6-2-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold5/145611-6-2-0.wav
train,5,gunshot,145611-6-3-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold5/145611-6-3-0.wav
train,5,gunshot,145611-6-4-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold5/145611-6-4-0.wav
train,8,gunshot,145612-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold8/145612-6-0-0.wav
train,8,gunshot,145612-6-1-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold8/145612-6-1-0.wav
train,8,gunshot,145612-6-2-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold8/145612-6-2-0.wav
train,8,gunshot,145612-6-3-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold8/145612-6-3-0.wav
train,7,gunshot,147317-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/147317-6-0-0.wav
train,7,gunshot,148827-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/148827-6-0-0.wav
train,7,gunshot,148827-6-1-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/148827-6-1-0.wav
train,7,gunshot,148827-6-2-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/148827-6-2-0.wav
train,7,gunshot,148827-6-3-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/148827-6-3-0.wav
train,7,gunshot,148827-6-4-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/148827-6-4-0.wav
train,7,gunshot,148828-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/148828-6-0-0.wav
train,7,gunshot,148828-6-1-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold7/148828-6-1-0.wav
train,6,gunshot,148833-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/148833-6-0-0.wav
train,6,gunshot,148833-6-1-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/148833-6-1-0.wav
train,6,gunshot,148834-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/148834-6-0-0.wav
train,6,gunshot,148835-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/148835-6-0-0.wav
train,6,gunshot,148835-6-1-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/148835-6-1-0.wav
train,6,gunshot,148835-6-2-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/148835-6-2-0.wav
train,6,gunshot,148835-6-3-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/148835-6-3-0.wav
train,6,gunshot,148835-6-4-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold6/148835-6-4-0.wav
train,4,gunshot,148837-6-0-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold4/148837-6-0-0.wav
train,4,gunshot,148837-6-1-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold4/148837-6-1-0.wav
train,4,gunshot,148837-6-2-0.wav,/Users/devin/Downloads/UrbanSound8K/audio/fold4/148837-6-2-0.wav
