epoch,acc,auc,learning_rate,loss,precision,recall,val_acc,val_auc,val_loss,val_precision,val_recall
0,0.6548386812210083,0.6774401664733887,0.0010000000474974513,0.6406521797180176,0.483180433511734,0.5096774101257324,0.6559139490127563,0.7114984393119812,0.6762335896492004,0.0,0.0
1,0.7763440608978271,0.8239880204200745,0.0010000000474974513,0.5447132587432861,0.6564416885375977,0.6903225779533386,0.6666666865348816,0.6514047980308533,0.6761434674263,0.0,0.0
2,0.8354838490486145,0.9118262529373169,0.0010000000474974513,0.44197532534599304,0.7415384650230408,0.7774193286895752,0.6666666865348816,0.8015088438987732,0.6489863991737366,0.0,0.0
3,0.9086021780967712,0.9635770320892334,0.0010000000474974513,0.3060804009437561,0.8082191944122314,0.9516128897666931,0.6666666865348816,0.8470343351364136,0.6298263669013977,0.5,0.032258063554763794
4,0.9279569983482361,0.9805072546005249,0.0010000000474974513,0.21594452857971191,0.8461538553237915,0.9580644965171814,0.4301075339317322,0.8160769939422607,0.7038410902023315,0.369047611951828,1.0
5,0.9322580695152283,0.9882649183273315,0.0010000000474974513,0.1694442629814148,0.844011127948761,0.977419376373291,0.3655914068222046,0.9373049139976501,0.739715576171875,0.3444444537162781,1.0
6,0.9516128897666931,0.9883012175559998,0.0010000000474974513,0.15444912016391754,0.8978978991508484,0.9645161032676697,0.34408602118492126,0.821540117263794,1.0560654401779175,0.33695653080940247,1.0
7,0.9451612830162048,0.9910354018211365,0.0010000000474974513,0.1290218085050583,0.8775510191917419,0.9709677696228027,0.34408602118492126,0.9646201729774475,1.3502998352050781,0.33695653080940247,1.0
8,0.9591397643089294,0.9910639524459839,0.0010000000474974513,0.12594352662563324,0.9146341681480408,0.9677419066429138,0.34408602118492126,0.9711237549781799,1.6662230491638184,0.33695653080940247,1.0
9,0.9720430374145508,0.9946982264518738,0.0010000000474974513,0.09522677212953568,0.9277108311653137,0.9935483932495117,0.34408602118492126,0.9828303456306458,2.25085186958313,0.33695653080940247,1.0
10,0.9559139609336853,0.9943236708641052,0.0010000000474974513,0.10078398138284683,0.9063444137573242,0.9677419066429138,0.3333333432674408,0.9513527750968933,2.630605459213257,0.3333333432674408,1.0
11,0.9666666388511658,0.9955357909202576,0.0010000000474974513,0.08828546106815338,0.9266055226325989,0.977419376373291,0.3333333432674408,0.8428720235824585,3.290678024291992,0.3333333432674408,1.0
12,0.9677419066429138,0.9931972622871399,0.0010000000474974513,0.09981900453567505,0.9268292784690857,0.9806451797485352,0.3333333432674408,0.769250750541687,3.393373489379883,0.3333333432674408,1.0
13,0.9731183052062988,0.9957336187362671,0.0005000000237487257,0.07899624109268188,0.9357798099517822,0.9870967864990234,0.3333333432674408,0.6048386693000793,3.883307933807373,0.3333333432674408,1.0
14,0.9709677696228027,0.9956997632980347,0.0005000000237487257,0.08249503374099731,0.932721734046936,0.9838709831237793,0.3333333432674408,0.596774160861969,4.0259833335876465,0.3333333432674408,1.0
15,0.9731183052062988,0.9964697957038879,0.0005000000237487257,0.07234423607587814,0.9411764740943909,0.9806451797485352,0.34408602118492126,0.596774160861969,4.092743873596191,0.33695653080940247,1.0
16,0.9827957153320312,0.9977185130119324,0.0002500000118743628,0.06438340991735458,0.9593750238418579,0.9903225898742676,0.34408602118492126,0.596774160861969,4.103825569152832,0.33695653080940247,1.0
17,0.9720430374145508,0.9957987070083618,0.0002500000118743628,0.08446966111660004,0.9437500238418579,0.9741935729980469,0.34408602118492126,0.5887096524238586,4.330362319946289,0.33695653080940247,1.0
